No,Section,Page,Header,Emoji,English,Sinhala
6495,Characters,Smileys & Emotion,face-neutral-skeptical,😬,face | grimace | grimacing face,පුලුටු කර ගත් මුහුණ | පුලුටු කරගත් | මුහුණ
6497,Characters,Smileys & Emotion,face-neutral-skeptical,😮‍💨,exhale | face exhaling | gasp | groan | relief | whisper | whistle,අමාරුවෙන් හුස්ම ගැනීම | කෙඳිරිය | කෙඳිරීම | පිඹීම | සහනය | හුස්ම හෙළන මුහුණ | හුස්ම හෙළීම
6499,Characters,Smileys & Emotion,face-neutral-skeptical,🤥,face | lie | lying face | pinocchio,පිනොකියෝ | බොරුකියන මුහුණ | බොරුව | මුහුණ
6501,Characters,Smileys & Emotion,face-neutral-skeptical,🫨,earthquake | face | shaking | shock | vibrate,කම්පනය | භූමිකම්පාව | මුහුණ | වෙව්ලන මුහුණ | සෙලවීම
6503,Characters,Smileys & Emotion,face-sleepy,😌,face | relieved,මුහුණ | සැනසුමක් ලත් | සැනසුමක් ලත් මුහුණ
6505,Characters,Smileys & Emotion,face-sleepy,😔,dejected | face | pensive,අධෛර්යය | කල්පනාකාරී | කල්පනාවෙහි ගැලුණ මුහුණ | මුහුණ
6507,Characters,Smileys & Emotion,face-sleepy,😪,face | good night | sleep | sleepy face,නිදිබර මුහුණ | නින්ද | මුහුණ
6509,Characters,Smileys & Emotion,face-sleepy,🤤,drooling | face,කෙළ බේරෙන | කෙළ බේරෙන මුහුණ | මුහුණ
6511,Characters,Smileys & Emotion,face-sleepy,😴,face | good night | sleep | sleeping face | ZZZ,නිදින මුහුණ | නින්ද | මුහුණ | ස්ස්ස්
6513,Characters,Smileys & Emotion,face-unwell,😷,cold | doctor | face | face with medical mask | mask | sick,මුකවාඩම | මුකවාඩමක් සහිත මුහුණ | මුහුණ | රෝගී | වෛද්‍යවරයා | සීතල
6515,Characters,Smileys & Emotion,face-unwell,🤒,face | face with thermometer | ill | sick | thermometer,අසනීප | උණ කටුව | උණකටුවක් රඳවා ගත් මුහුණ | මුහුණ | ලෙඩ
6517,Characters,Smileys & Emotion,face-unwell,🤕,bandage | face | face with head-bandage | hurt | injury,තුවාලය | බැන්ඩේජ් | මුහුණ | රිදීම | හිසට බැන්ඩේජ් දැමූ මුහුණ
6519,Characters,Smileys & Emotion,face-unwell,🤢,face | nauseated | vomit,පිළිකුල් වූ | පිළිකුල් වූ මුහුණ | මුහුණ | වමනය
6521,Characters,Smileys & Emotion,face-unwell,🤮,face vomiting | puke | sick | vomit,අසනීපයි | වමනය | වමනය යන මුහුණ
6523,Characters,Smileys & Emotion,face-unwell,🤧,face | gesundheit | sneeze | sneezing face,කිඹුහුම | කිඹුහුම් යවන මුහුණ | මුහුණ
6525,Characters,Smileys & Emotion,face-unwell,🥵,feverish | heat stroke | hot | hot face | red-faced | sweating,ඇවිස්සුණු | උණුසුම් | දාඩිය දැමීමි | රතු වූ මුහුණ | රත් වූ පහර | රත් වූ මුහුණ
6527,Characters,Smileys & Emotion,face-unwell,🥶,blue-faced | cold | cold face | freezing | frostbite | icicles,අයිස් කූරු | ඉතා ශ්‍රීතල | නිල් මුහුණැති | සීතල මුහුණ | සීතලයි | හමේ ඇතිවන තුවාල
6529,Characters,Smileys & Emotion,face-unwell,🥴,dizzy | intoxicated | tipsy | uneven eyes | wavy mouth | woozy face,අසමාන ඇස් | ඉස කරකැවිල්ල | දුක්ඛිත මුහුණ | මත් වූ | රැලි සහිත කට | වෙරි වූ
6531,Characters,Smileys & Emotion,face-unwell,😵,crossed-out eyes | dead | face | face with crossed-out eyes | knocked out,නිදිමත ගතියක් ඇති | නිදිමත ගතියක් ඇති මුහුණ | මුහුණ
6533,Characters,Smileys & Emotion,face-unwell,😵‍💫,dizzy | face with spiral eyes | hypnotized | spiral | trouble | whoa,ආ | කරකැවිල්ල | කරදරය | මෝහනය | සර්පිලාකාර | සර්පිලාකාර ඇස් ඇති මුහුණ
6535,Characters,Smileys & Emotion,face-unwell,🤯,exploding head | mind blown | shocked,කම්පාවට පත් වූ මුහුණ | පිපිරෙන හිස
6537,Characters,Smileys & Emotion,face-hat,🤠,cowboy | cowgirl | face | hat,ගොප තොප්පි මුහුණ | ගොපලු කෙල්ල | ගොපලු තොප්පිය | ගොපල්ලා | තොප්පිය | මුහුණ
6539,Characters,Smileys & Emotion,face-hat,🥳,celebration | hat | horn | party | partying face,උත්සව මුහුණ | උත්සවය | තොපිය | නලාව | සැමරීම
6541,Characters,Smileys & Emotion,face-hat,🥸,disguise | disguised face | face | glasses | incognito | nose,කණ්නාඩි | නාසය | නොපැහැදිලි | මුහුණ | වෙස්වලාගත් මුහුණ | වෙස්වළාගෙන
6543,Characters,Smileys & Emotion,face-glasses,😎,bright | cool | face | smiling face with sunglasses | sun | sunglasses,අව් කණ්ණාඩි | අව් කණ්ණාඩි පැළඳි සිනහ මුහුණ | කණ්ණාඩි | දීප්තිමත් | මුහුණ | සන්සුන් | සූර්යයා
6545,Characters,Smileys & Emotion,face-glasses,🤓,face | geek | nerd,මුහුණ | මොට්ට | මෝඩ
6547,Characters,Smileys & Emotion,face-glasses,🧐,face | face with monocle | monocle | stuffy,කේන්ති ගිය | තනි කාචයක් සහිත මුහුණ
6549,Characters,Smileys & Emotion,face-concerned,😕,confused | face | meh,මුහුණ | ව්‍යාකූල | ව්‍යාකූල වූ මුහුණ
6551,Characters,Smileys & Emotion,face-concerned,🫤,disappointed | face with diagonal mouth | meh | skeptical | unsure,ඇල වූ කටක් ඇති මුහුණ | බලාපොරොත්තු සුන් වූ | විශ්වාස නෑ | සැක සහිත
6553,Characters,Smileys & Emotion,face-concerned,😟,face | worried,කනගාටුවට පත් | කනගාටුවට පත් මුහුණ | මුහුණ
6555,Characters,Smileys & Emotion,face-concerned,🙁,face | frown | slightly frowning face,මදක් රවන මුහුණ | මුහුණ | රැවීම
6557,Characters,Smileys & Emotion,face-concerned,☹,face | frown | frowning face,මුහුණ | රවන මුහුණ | රැවීම
6559,Characters,Smileys & Emotion,face-concerned,😮,face | face with open mouth | mouth | open | sympathy,කට | කට ඇරුණ මුහුණ | දුක | මුහුණ | විවෘත
6561,Characters,Smileys & Emotion,face-concerned,😯,face | hushed | stunned | surprised,නිශ්ශබ්ද | නිහඩ | පුදුම | මුහුණ
6563,Characters,Smileys & Emotion,face-concerned,😲,astonished | face | shocked | totally,පුදුම | මුහුණ | විස්මයට පත් | විස්මයට පත් මුහුණ | සම්පූර්ණයෙන්
6565,Characters,Smileys & Emotion,face-concerned,😳,dazed | face | flushed,මුහුණ | රතු වූ | රතු වූ මුහුණ | ලැජ්ජාව
6567,Characters,Smileys & Emotion,face-concerned,🥺,begging | mercy | pleading face | puppy eyes,අනුකම්පාව | කණගාටුයි මුහුණ | බලු පැටවූ ඇස් | සිඟාකෑම
6569,Characters,Smileys & Emotion,face-concerned,🥹,angry | cry | face holding back tears | proud | resist | sad,අඬනවා | ආඩම්බර | කඳුළු සඟවාගෙන සිටින මුහුණ | තරහ | දුක | ප්‍රතිරෝධ
6571,Characters,Smileys & Emotion,face-concerned,😦,face | frown | frowning face with open mouth | mouth | open,කට | කට ඇරුණ රවන මුහුණ | මුහුණ | රැවීම | විවෘත
6573,Characters,Smileys & Emotion,face-concerned,😧,anguished | face,මුහුණ | වේදනාව | වේදනාවට පත් වූ මුහුණ
6575,Characters,Smileys & Emotion,face-concerned,😨,face | fear | fearful | scared,බය | බිය | බියජනක | බියට පත් වූ මුහුණ | මුහුණ
6577,Characters,Smileys & Emotion,face-concerned,😰,anxious face with sweat | blue | cold | face | rushed | sweat,ඇරුණු දහඩිය දමන මුහුණ | කට ඇරුණු දහඩිය දමන මුහුණ | දහඩිය | නිල් | මුහුණ | සීතල
6579,Characters,Smileys & Emotion,face-concerned,😥,disappointed | face | relieved | sad but relieved face | whew,බලාපොරොත්තු සුන්වූ | බලාපොරොත්තු සුන්වූ නමුත් සැනසුමක් ලත් මුහුණ | මුහුණ | විව් | සැනසුමක් ලත්
6581,Characters,Smileys & Emotion,face-concerned,😢,cry | crying face | face | sad | tear,අඬන මුහුණ | ඇඬීම | කඳුළු | දුක | මුහුණ
6583,Characters,Smileys & Emotion,face-concerned,😭,cry | face | loudly crying face | sad | sob | tear,ඇඬීම | කඳුළු | දුක | මුහුණ | හයියෙන් අඩන මුහුණ
6585,Characters,Smileys & Emotion,face-concerned,😱,face | face screaming in fear | fear | munch | scared | scream,බිය | බියජනක | බියෙන් කෑගසන | බියෙන් කෑගසන මුහුණ | මුහුණ
6587,Characters,Smileys & Emotion,face-concerned,😖,confounded | face,අවුල් සහගත | අවුල් සහගත වූ මුහුණ | මුහුණ
6589,Characters,Smileys & Emotion,face-concerned,😣,face | persevere | persevering face,උත්සාහය | උත්සාහවන්ත මුහුණ | මුහුණ
6591,Characters,Smileys & Emotion,face-concerned,😞,disappointed | face,බලාපොරොත්තු සුන් වූ මුහුණ | බලාපොරොත්තු සුුන්වූ | බලාාපොරොත්තු සුන් වූ මුහුණ | මුහුණ
6593,Characters,Smileys & Emotion,face-concerned,😓,cold | downcast face with sweat | face | sweat,දහඩිය | දහඩිය දමා ගත් මුහුණ | මුුහුණ | සීතල
6595,Characters,Smileys & Emotion,face-concerned,😩,face | tired | weary,මහන්සිය | මුහුණ | වෙහෙස | වෙහෙසට පත් වූ මුහුණ
6597,Characters,Smileys & Emotion,face-concerned,😫,face | tired,මහුණ | විඩාබර මුහුණ | වෙහෙසකර
6599,Characters,Smileys & Emotion,face-concerned,🥱,bored | tired | yawn | yawning face,ඈනුම් අරින | ඈනුම් අරින මුහුණ | කම්මැලි | වෙහෙසුණු
6601,Characters,Smileys & Emotion,face-negative,😤,face | face with steam from nose | triumph | won,ජයග්‍රහණය | දිනුම | නහයෙන් හුමාලය එන මුහුණ | මුහුණ
6603,Characters,Smileys & Emotion,face-negative,😡,angry | enraged | face | mad | pouting | rage | red,අමනාපය | අමනාපයෙන් යුතු මුහුණ | තරහව | පළිගැනීම | මුහුණ | රතු
6605,Characters,Smileys & Emotion,face-negative,😠,anger | angry | face | mad,කේන්තියෙන් යුතු මුහුණ | තරහව | මුහුණ | මෝඩ
6607,Characters,Smileys & Emotion,face-negative,🤬,face with symbols on mouth | swearing,කටේ ලකුණු ඇති මුහුණ | දිව්රුම් දීම
6609,Characters,Smileys & Emotion,face-negative,😈,face | fairy tale | fantasy | horns | smile | smiling face with horns,අං | අං සහිත සිනහ මුහුණ | මායාව | මුහුණ | සිනහව | සුරංගනා කථාව
6611,Characters,Smileys & Emotion,face-negative,👿,angry face with horns | demon | devil | face | fantasy | imp,මායාව | මිත්‍යා කථාවල එන සත්ත්වයා | මුහුණ | යකා | යක්ෂයා | සුරංගනාව
6613,Characters,Smileys & Emotion,face-negative,💀,death | face | fairy tale | monster | skull,මරණය | මිනී ඔළුව | මුහුණ | යක්ෂයා | ශරීරය | සුරංගනා කථාව
6615,Characters,Smileys & Emotion,face-negative,☠,crossbones | death | face | monster | skull | skull and crossbones,මරණය | මිනී ඔළුව | මිනී ඔළුව සහ හරස් ඇටකටු | මුහුණ | යක්ෂයා | ශරීරය | හරස් ඇටකටු
6617,Characters,Smileys & Emotion,face-costume,💩,dung | face | monster | pile of poo | poo | poop,අසූචි | අසූචි ගොඩ | කසල | ගොම | මුහුණ
6619,Characters,Smileys & Emotion,face-costume,🤡,clown | face,මුහුණ | විකටය මුහුණ | විකටයා
6621,Characters,Smileys & Emotion,face-costume,👹,creature | face | fairy tale | fantasy | monster | ogre,ජපන් | මායාව | මිනී කන යක්ෂයා | මුහුණ | යක්ෂයා | සතා | සුරංගනා කථාව
6623,Characters,Smileys & Emotion,face-costume,👺,creature | face | fairy tale | fantasy | goblin | monster,ගොබ්ලින් යක්ෂයා | ජපන් | මායාව | මුහුණ | යක්ෂයා | සතා | සුරංගනා කථාව
6625,Characters,Smileys & Emotion,face-costume,👻,creature | face | fairy tale | fantasy | ghost | monster,ජපන් | මායාව | මුහුණ | යක්ෂයා | සතා | සුරංගනා කථාව | හොල්මන
6627,Characters,Smileys & Emotion,face-costume,👽,alien | creature | extraterrestrial | face | fantasy | ufo,අභ්‍යවකාශය | පිටසක්වල ජීවියා | පියාඹන පීරිසි | මායාව | මුහුණ | සුරංගනා කථාව
6629,Characters,Smileys & Emotion,face-costume,👾,alien | creature | extraterrestrial | face | monster | ufo,අභ්‍යවකාශය | පිටසක්වල ජීවියා | පිටසක්වල යක්ෂයා | පියාඹන පීරිසි | මායාව | මුහුණ | යක්ෂයා
6631,Characters,Smileys & Emotion,face-costume,🤖,face | monster | robot,මුහුණ | යක්ෂයා | රොබෝ
6633,Characters,Smileys & Emotion,cat-face,😺,cat | face | grinning | mouth | open | smile,කට | කට ඇරුණ සිනාසෙන බළල් මුහුණ | පූසා | මුහුණ | විවෘත | සිනහව
6635,Characters,Smileys & Emotion,cat-face,😸,cat | eye | face | grin | grinning cat with smiling eyes | smile,ඇස | පූසා | මුහුණ | විරිත්තීම | සිනහව | සිනාසෙන ඇස් සහිත දත් විරිතත්න බළල් මුහුණ
6637,Characters,Smileys & Emotion,cat-face,😹,cat | cat with tears of joy | face | joy | tear,පූසා | භය | මුුහුණ | සතුට | සතුටු කඳුළු සහිත බළල් මුහුණ
6639,Characters,Smileys & Emotion,cat-face,😻,cat | eye | face | heart | love | smile | smiling cat with heart-eyes,ආදරය | ඇස | පූසා | මුුහුණ | සිනහව | හදවත | හදවතක හැඩය ගත් ඇස් සහිත සිනාසෙන බළල් මුහුණ
6641,Characters,Smileys & Emotion,cat-face,😼,cat | cat with wry smile | face | ironic | smile | wry,ඇද වූ | උපහාසාත්මක | කට ඇදවූ සිනහව සහිත බළල් මුහුණ | පූසා | මුහුුණ | සිනහව
6643,Characters,Smileys & Emotion,cat-face,😽,cat | eye | face | kiss | kissing cat,ඇස | ඇස් වැසුණ සිඹින බළලා | ඇස් වැසුණ සිඹින බළල් මුහුණ | පූසා | බළලා | මුහුණ | හාදුව
6645,Characters,Smileys & Emotion,cat-face,🙀,cat | face | oh | surprised | weary,අපොයි | පුදුමයට පත් | පූසා | මුහුණ | විඩාබර | වෙහෙසට පත් වූ බළල් මුහුණ
6647,Characters,Smileys & Emotion,cat-face,😿,cat | cry | crying cat | face | sad | tear,අඬන බළල් මුහුණ | ඇඩීම | කඳුළු | දුක්මුසු | පූසා | මුහුණ
6649,Characters,Smileys & Emotion,cat-face,😾,cat | face | pouting,අමනාපයෙන් යුතු බළල් මුහුණ | කට උල් කිරීම | පූසා | මුහුණ
6651,Characters,Smileys & Emotion,monkey-face,🙈,evil | face | forbidden | monkey | see | see-no-evil monkey,අභින | තහනම් කළ | දුෂ්ට | නරක දේවල් නොබලන්න | නැත | බැලීම | මුහුණ | වඳුරා
6653,Characters,Smileys & Emotion,monkey-face,🙉,evil | face | forbidden | hear | hear-no-evil monkey | monkey,අභින | තහනම් කළ | දුෂ්ට | නරක දේවල් නොඅසන්න | නැත | මුහුණ | වඳුරා | සවන් දීම
6655,Characters,Smileys & Emotion,monkey-face,🙊,evil | face | forbidden | monkey | speak | speak-no-evil monkey,අභින | කථනය | තහනම් කළ | දුෂ්ට | නරක දේවල් කථා නොකරන්න | නැත | මුහුණ | වඳුුරා
6657,Characters,Smileys & Emotion,heart,💌,heart | letter | love | mail,ආදර හසුන | ආදරය | තැපෑල | ප්‍රේමය | ලිපිය
6659,Characters,Smileys & Emotion,heart,💘,arrow | cupid | heart with arrow,අනංගයා | ඊතලය | ඊතලය සහිත හදවත | ප්‍රේමය | හදවත
6661,Characters,Smileys & Emotion,heart,💝,heart with ribbon | ribbon | valentine,පීත්ත පටිය | පීත්ත පටියක් සහිත හදවත | වැලන්ටයින් | හදවත
6663,Characters,Smileys & Emotion,heart,💖,excited | sparkle | sparkling heart,දිදුලන | ප්‍රබෝදමත් | හදවත
6665,Characters,Smileys & Emotion,heart,💗,excited | growing | growing heart | nervous | pulse,චංචල | ප්‍රබෝදමත් | වැඩෙන | හදවත | හෘද ස්පන්දනය
6667,Characters,Smileys & Emotion,heart,💓,beating | beating heart | heartbeat | pulsating,ගැහෙන | ස්පන්දනය | හදවත
6669,Characters,Smileys & Emotion,heart,💞,revolving | revolving hearts,කරකැවෙන | කරකැවෙන හදවත් | හදවත
6671,Characters,Smileys & Emotion,heart,💕,love | two hearts,ආදරය | හදවත | හදවත් දෙකක්
6673,Characters,Smileys & Emotion,heart,💟,heart | heart decoration,හදවත | හදවත් සැරසිල්ල
6675,Characters,Smileys & Emotion,heart,❣,exclamation | heart exclamation | mark | punctuation,ලකුණ | වස්මයාර්ථ | විරාම ලකුණ | හදවතක හැඩය ගත් විස්මයාර්ථ ලකුණ
6677,Characters,Smileys & Emotion,heart,💔,break | broken | broken heart,බිඳීම | බිඳුණු | හදවත
6679,Characters,Smileys & Emotion,heart,❤‍🔥,burn | heart | heart on fire | love | lust | sacred heart,ආදරය | ගිනි ගත් හදවත | පිළිස්සීම | පූජනීය හදවත | රාගය | හදවත
6681,Characters,Smileys & Emotion,heart,❤‍🩹,healthier | improving | mending | mending heart | recovering | recuperating | well,ප්‍රකෘතිමත් වීම | යථා තත්ත්වයට පත් වීම | වැඩි දියුණු කිරීම | සුව දීම | සුව වෙන හදවත | සෞඛ්‍ය සම්පන්න | හොඳින්
6683,Characters,Smileys & Emotion,heart,❤,heart | red heart,රතු හදවත | හදවත
6685,Characters,Smileys & Emotion,heart,🩷,cute | heart | like | love | pink,ආදරය | රෝස | වැනි | හදවත | හුරුබුහුටි
6687,Characters,Smileys & Emotion,heart,🧡,orange | orange heart,තැඹිලි | තැඹිලි හදවත
6689,Characters,Smileys & Emotion,heart,💛,yellow | yellow heart,කහ | හදවත
6691,Characters,Smileys & Emotion,heart,💚,green | green heart,කොල | කොළ හදවත | හදවත
6693,Characters,Smileys & Emotion,heart,💙,blue | blue heart,නිල් | නිල් හදවත | හදචත
6695,Characters,Smileys & Emotion,heart,🩵,cyan | heart | light blue | light blue heart | teal,ලා නිල් | ලා නිල් හදවත | සයන් | හදවත
6697,Characters,Smileys & Emotion,heart,💜,purple | purple heart,දම් | හදවත
6699,Characters,Smileys & Emotion,heart,🤎,brown | heart,දුඹුරු | හදවත
6701,Characters,Smileys & Emotion,heart,🖤,black | black heart | evil | wicked,කළු | දුෂ්ට | නපුරු | හදවත
6703,Characters,Smileys & Emotion,heart,🩶,gray | grey heart | heart | silver | slate,අළු | රිදී | හදවත
6705,Characters,Smileys & Emotion,heart,🤍,heart | white,සුදු | හදවත
6707,Characters,Smileys & Emotion,emotion,💋,kiss | kiss mark | lips,තොල් | හදවත | හාදු ලකුණ | හාදුව
